year;area;uf
1999;720;Amazonas
1999;441;Acre
1998;5.829,00;Pará
1998;223;Roraima
1998;2.041,00;Rondônia
1998;576;Tocantins
1998;6.466,00;Mato Grosso
1998;1.012,00;Maranhão
1998;30;Amapá
1998;670;Amazonas
1998;536;Acre
1997;273;Tocantins
1997;184;Roraima
1997;1.986,00;Rondônia
1997;4.139,00;Pará
1997;5.271,00;Mato Grosso
1997;409;Maranhão
1997;358;Acre
1997;589;Amazonas
1997;18;Amapá
1996;320;Tocantins
1996;214;Roraima
1996;2.432,00;Rondônia
1996;6.135,00;Pará
1996;6.543,00;Mato Grosso
1996;1.061,00;Maranhão
1996;0;Amapá
1996;1.023,00;Amazonas
1996;433;Acre
1995;797;Tocantins
1995;220;Roraima
1995;4.730,00;Rondônia
1995;7.845,00;Pará
1995;10.391,00;Mato Grosso
1995;1.745,00;Maranhão
1995;9;Amapá
1995;2.114,00;Amazonas
1995;1.208,00;Acre
1994;0;Amapá
1994;240;Roraima
1994;2.595,00;Rondônia
1994;4.284,00;Pará
1994;6.220,00;Mato Grosso
1994;372;Maranhão
1994;333;Tocantins
1994;370;Amazonas
1994;482;Acre
1993;333;Tocantins
1993;240;Roraima
1993;2.595,00;Rondônia
1993;4.284,00;Pará
1993;6.220,00;Mato Grosso
1993;372;Maranhão
1993;0;Amapá
1993;370;Amazonas
1993;482;Acre
1992;409;Tocantins
1992;281;Roraima
1992;400;Acre
1992;3.787,00;Pará
1992;4.674,00;Mato Grosso
1992;1.135,00;Maranhão
1992;36;Amapá
1992;799;Amazonas
1992;2.265,00;Rondônia
1991;380;Acre
1991;420;Roraima
1991;1.110,00;Rondônia
1991;3.780,00;Pará
1991;2.840,00;Mato Grosso
1991;670;Maranhão
1991;410;Amapá
1991;980;Amazonas
1991;440;Tocantins
1990;580;Tocantins
1990;150;Roraima
1990;1.670,00;Rondônia
1990;4.890,00;Pará
1990;4.020,00;Mato Grosso
1990;1.100,00;Maranhão
1990;250;Amapá
1990;520;Amazonas
1990;550;Acre
1989;730;Tocantins
1989;630;Roraima
1989;1.430,00;Rondônia
1989;5.750,00;Pará
1989;5.960,00;Mato Grosso
1989;1.420,00;Maranhão
1989;130;Amapá
1989;1.180,00;Amazonas
1989;540;Acre
1988;1.650,00;Tocantins
1988;290;Roraima
1988;2.340,00;Rondônia
1988;6.990,00;Pará
1988;5.140,00;Mato Grosso
1988;2.450,00;Maranhão
1988;60;Amapá
1988;1.510,00;Amazonas
1988;620;Acre
